Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,G+A-PK,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK_stats_shooting,PKatt_stats_shooting,Crs,TklW,Int,Fld,CrdY_stats_misc,CrdR_stats_misc,2CrdY,Fls,OG,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt_stats_keeper,PKA,PKsv,PKm,player_clean,expected_goals,expected_assists
1,Brenden Aaronson,us USA,"MF,FW",Leeds United,eng Premier League,25.0,2000.0,34,27,2239,24.9,4,5,9,4,0,0,2,0,0.36,43,16,37.2,1.73,0.64,0.09,0.25,0,0,36,23,17,48,2,0,0,19,0,,,,,,,,,,,,,,,brenden aaronson,4.2381,3.04612654
3,Jones El-Abdellaoui,ma MAR,"MF,FW",Celta Vigo,es La Liga,20.0,2006.0,21,4,666,7.4,2,0,2,2,0,0,0,0,0.27,17,4,23.5,2.3,0.54,0.12,0.5,0,0,27,3,3,3,0,0,0,6,0,,,,,,,,,,,,,,,jones el-abdellaoui,2.5514,0.61684925
4,Himad Abdelli,dz ALG,MF,Marseille,fr Ligue 1,26.0,1999.0,8,1,138,1.5,0,0,0,0,0,0,1,0,0.0,4,1,25.0,2.61,0.65,0.0,0.0,0,0,1,1,2,0,1,0,0,3,0,,,,,,,,,,,,,,,himad abdelli,2.1327,0.78213105
5,Himad Abdelli,dz ALG,MF,Angers,fr Ligue 1,26.0,1999.0,13,11,943,10.5,2,0,2,0,2,2,1,0,0.0,11,5,45.5,1.05,0.48,0.0,0.0,2,2,9,17,13,12,1,0,0,16,0,,,,,,,,,,,,,,,himad abdelli,2.1327,0.78213105
6,Ali Abdi,tn TUN,"MF,DF",Nice,fr Ligue 1,32.0,1993.0,20,12,1065,11.8,3,0,3,3,0,0,4,1,0.25,11,3,27.3,0.93,0.25,0.27,1.0,0,0,31,9,10,17,4,1,1,20,0,,,,,,,,,,,,,,,ali abdi,1.6372,0.60819991
7,Salis Abdul Samed,gh GHA,MF,Nice,fr Ligue 1,26.0,2000.0,17,11,853,9.5,0,0,0,0,0,0,3,0,0.0,1,0,0.0,0.11,0.0,0.0,,0,0,2,7,11,9,3,0,0,19,0,,,,,,,,,,,,,,,salis abdul samed,0.0259,0.13320865
8,Saud Abdulhamid,sa KSA,MF,Lens,fr Ligue 1,26.0,1999.0,24,13,1307,14.5,2,4,6,2,0,0,3,1,0.41,8,3,37.5,0.55,0.21,0.25,0.67,0,0,46,22,9,14,3,1,0,24,0,,,,,,,,,,,,,,,saud abdulhamid,0.5177,2.87205286
10,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,33.0,1993.0,26,25,2163,24.0,1,0,1,1,0,0,6,0,0.04,20,5,25.0,0.83,0.21,0.05,0.2,0,0,9,22,28,24,6,0,0,24,0,,,,,,,,,,,,,,,laurent abergel,0.7317,0.90815313
11,Matthis Abline,fr FRA,"FW,MF",Nantes,fr Ligue 1,23.0,2003.0,32,27,2494,27.7,6,4,10,6,0,1,6,0,0.36,84,22,26.2,3.03,0.79,0.07,0.27,0,1,62,13,9,42,6,0,0,32,0,,,,,,,,,,,,,,,matthis abline,5.3875,3.12054218
13,Zakaria Aboukhlal,ma MAR,MF,Torino,it Serie A,26.0,2000.0,15,6,511,5.7,0,0,0,0,0,0,4,0,0.0,7,2,28.6,1.23,0.35,0.0,0.0,0,0,18,12,1,11,4,0,0,12,0,,,,,,,,,,,,,,,zakaria aboukhlal,0.3365,0.37928878
15,Tammy Abraham,eng ENG,FW,Aston Villa,eng Premier League,28.0,1997.0,12,2,286,3.2,2,0,2,2,0,0,0,0,0.63,9,3,33.3,2.83,0.94,0.22,0.67,0,0,1,1,0,0,0,0,0,2,0,,,,,,,,,,,,,,,tammy abraham,1.7569,0.36209894
