Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,G+A-PK,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK_stats_shooting,PKatt_stats_shooting,Crs,TklW,Int,Fld,CrdY_stats_misc,CrdR_stats_misc,2CrdY,Fls,OG,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt_stats_keeper,PKA,PKsv,PKm,player_clean,expected_goals,expected_assists,xG_per90,xA_per90,Gls_per90,Ast_per90,Sh_per90,SoT_per90,distance,similarity_score,is_ucl_team
2219,Rômulo,br BRA,FW,RB Leipzig,de Bundesliga,24.0,2002.0,28,26,2080,23.1,9,4,13,9,0,1,3,0,0.56,61,27,44.3,2.64,1.17,0.15,0.33,0,1,0,17,11,20,3,0,0,20,1,,,,,,,,,,,,,,,romulo,12.4071,2.79948451,0.5371038961038961,0.12118980562770562,0.3896103896103896,0.17316017316017315,2.6406926406926403,1.1688311688311688,0.6290911767432489,61.383918486325705,False
20,Ragnar Ache,de GER,FW,Köln,de Bundesliga,27.0,1998.0,29,18,1718,19.1,7,4,11,7,0,0,3,0,0.58,52,22,42.3,2.72,1.15,0.13,0.32,0,0,1,8,4,29,3,0,0,18,0,,,,,,,,,,,,,,,ragnar ache,10.1478,1.04124876,0.5312984293193717,0.05451564188481675,0.36649214659685864,0.20942408376963348,2.7225130890052354,1.1518324607329842,0.6833066586388377,59.40688197649168,False
22,Akor Adams,ng NGA,FW,Sevilla,es La Liga,26.0,2000.0,28,19,1846,20.5,8,3,11,5,3,3,2,0,0.39,55,27,49.1,2.68,1.32,0.09,0.19,3,3,15,3,1,10,2,0,0,31,0,,,,,,,,,,,,,,,akor adams,9.6194,0.98235192,0.46923902439024395,0.04791960585365854,0.3902439024390244,0.14634146341463414,2.682926829268293,1.3170731707317074,0.7252634567323506,57.96216201634504,False
2702,Nico Williams,es ESP,MF,Athletic Club,es La Liga,23.0,2002.0,24,19,1639,18.2,6,3,9,5,1,2,2,0,0.44,45,16,35.6,2.47,0.88,0.11,0.31,1,2,70,9,7,28,2,0,0,24,0,,,,,,,,,,,,,,,nico williams,4.7179,4.70012079,0.25922527472527473,0.25824839505494507,0.32967032967032966,0.16483516483516483,2.4725274725274726,0.8791208791208791,0.7734145794123525,56.388393983507505,False
1069,Gorka Guruzeta,es ESP,FW,Athletic Club,es La Liga,29.0,1996.0,31,25,2091,23.2,9,3,12,8,1,1,6,1,0.47,70,28,40.0,3.01,1.21,0.11,0.29,1,1,7,4,10,29,6,1,1,42,0,,,,,,,,,,,,,,,gorka guruzeta,8.6905,1.65586652,0.3745905172413793,0.07137355689655173,0.3879310344827586,0.12931034482758622,3.0172413793103448,1.206896551724138,0.7804460332275083,56.16570125336781,False
1667,Bryan Mbeumo,cm CMR,"MF,FW",Manchester Utd,eng Premier League,26.0,1999.0,30,29,2441,27.1,9,3,12,9,0,0,4,0,0.44,65,30,46.2,2.4,1.11,0.14,0.3,0,0,101,11,7,28,4,0,0,23,0,,,,,,,,,,,,,,,bryan mbeumo,8.2602,4.53666454,0.30480442804428043,0.16740459557195572,0.33210332103321033,0.11070110701107011,2.3985239852398523,1.107011070110701,0.7994718650263045,55.57186080180154,False
2434,Sambou Soumano,sn SEN,FW,Lorient,fr Ligue 1,25.0,2001.0,30,8,931,10.3,4,2,6,4,0,1,2,0,0.58,28,10,35.7,2.71,0.97,0.14,0.4,0,1,0,4,4,18,2,0,0,16,0,,,,,,,,,,,,,,,sambou soumano,5.367,0.78512063,0.5210679611650485,0.07622530388349513,0.3883495145631068,0.1941747572815534,2.7184466019417473,0.9708737864077669,0.8121364937246718,55.1834811264463,False
1993,Igor Paixão,br BRA,MF,Marseille,fr Ligue 1,25.0,2000.0,28,20,1814,20.2,6,5,11,6,0,0,3,0,0.55,50,20,40.0,2.48,0.99,0.12,0.3,0,0,56,8,16,30,3,0,0,18,0,,,,,,,,,,,,,,,igor paixao,5.8589,2.44007421,0.2900445544554456,0.12079575297029704,0.297029702970297,0.24752475247524752,2.4752475247524752,0.9900990099009901,0.8421509750509921,54.28436721763911,False
2396,Lassine Sinayoko,ml MLI,"FW,MF",Auxerre,fr Ligue 1,26.0,1999.0,30,30,2590,28.8,9,4,13,6,3,4,8,0,0.35,86,35,40.7,2.99,1.22,0.07,0.17,3,4,26,25,22,51,8,0,0,29,0,,,,,,,,,,,,,,,lassine sinayoko,10.6003,2.7536015,0.36806597222222226,0.09561116319444443,0.3125,0.1388888888888889,2.986111111111111,1.2152777777777777,0.8449889978658652,54.20086521690479,False
108,Mohamed Amoura,dz ALG,"FW,MF",Wolfsburg,de Bundesliga,26.0,2000.0,29,23,1918,21.3,8,3,11,7,1,1,2,0,0.47,60,19,31.7,2.82,0.89,0.12,0.37,1,1,34,22,7,11,2,0,0,21,0,,,,,,,,,,,,,,,mohamed amoura,8.4452,2.48808474,0.3964882629107981,0.11681149014084508,0.3755868544600939,0.14084507042253522,2.816901408450704,0.892018779342723,0.8790311051225415,53.218916774386486,False
242,Christoph Baumgartner,at AUT,MF,RB Leipzig,de Bundesliga,26.0,1999.0,31,30,2600,28.9,13,7,20,13,0,1,8,0,0.69,75,33,44.0,2.6,1.14,0.17,0.39,0,1,6,37,21,31,8,0,0,60,0,,,,,,,,,,,,,,,christoph baumgartner,12.0931,3.63382898,0.4184463667820069,0.1257380269896194,0.44982698961937717,0.24221453287197234,2.595155709342561,1.1418685121107266,0.8846863098258242,53.05922767022255,False
