Player,Nation,Squad,Comp,Age,MP,Min,90s,is_ucl_team,Gls,Ast,G+A,Sh,SoT,G/Sh,Gls_per90,Ast_per90,Sh_per90,SoT_per90
Igor Thiago,br BRA,Brentford,eng Premier League,24.0,35,3012,33.5,False,22,1,23,79,41,0.18,0.6567164179104478,0.029850746268656716,2.3582089552238807,1.2238805970149254
Joaquín Panichelli,ar ARG,Strasbourg,fr Ligue 1,23.0,27,2193,24.4,False,16,1,17,58,31,0.19,0.6557377049180328,0.04098360655737705,2.377049180327869,1.2704918032786885
Benjamin Šeško,si SVN,Manchester Utd,eng Premier League,22.0,30,1643,18.3,False,11,1,12,61,34,0.18,0.6010928961748634,0.0546448087431694,3.333333333333333,1.8579234972677594
Igor Matanovic,hr CRO,Freiburg,de Bundesliga,23.0,29,1396,15.5,False,8,1,9,47,16,0.15,0.5161290322580645,0.06451612903225806,3.032258064516129,1.032258064516129
Dženan Pejčinović,de GER,Wolfsburg,de Bundesliga,21.0,28,1281,14.2,False,7,0,7,41,18,0.17,0.49295774647887325,0.0,2.887323943661972,1.267605633802817
Vladyslav Vanat,ua UKR,Girona,es La Liga,24.0,27,1942,21.6,False,9,1,10,27,18,0.22,0.41666666666666663,0.046296296296296294,1.25,0.8333333333333333
Thierno Barry,fr FRA,Everton,eng Premier League,23.0,35,1792,19.9,False,8,0,8,37,14,0.22,0.4020100502512563,0.0,1.8592964824120604,0.7035175879396985
Tim Lemperle,de GER,Hoffenheim,de Bundesliga,24.0,27,1829,20.3,False,8,2,10,50,20,0.14,0.3940886699507389,0.09852216748768472,2.4630541871921183,0.9852216748768473
Rômulo,br BRA,RB Leipzig,de Bundesliga,24.0,28,2080,23.1,False,9,4,13,61,27,0.15,0.3896103896103896,0.17316017316017315,2.6406926406926403,1.1688311688311688
Karl Etta Eyong,cm CMR,Levante,es La Liga,22.0,28,1410,15.7,False,6,2,8,41,21,0.15,0.3821656050955414,0.12738853503184713,2.6114649681528666,1.337579617834395
